Respondent,YearsCodingProf
557,3-5 years
558,3-5 years
560,3-5 years
562,NA
563,6-8 years
564,6-8 years
565,3-5 years
566,3-5 years
567,6-8 years
569,6-8 years
570,0-2 years
573,NA
574,6-8 years
575,3-5 years
576,3-5 years
579,0-2 years
580,NA
583,3-5 years
584,9-11 years
585,6-8 years
586,12-14 years
587,15-17 years
588,NA
589,30 or more years
590,NA
591,3-5 years
592,3-5 years
593,3-5 years
594,12-14 years
596,12-14 years
597,24-26 years
599,3-5 years
600,24-26 years
601,3-5 years
602,15-17 years
606,18-20 years
607,3-5 years
608,0-2 years
609,18-20 years
611,18-20 years
613,9-11 years
614,21-23 years
615,15-17 years
616,15-17 years
618,NA
619,6-8 years
620,3-5 years
621,3-5 years
622,0-2 years
623,0-2 years
624,0-2 years
626,15-17 years
628,30 or more years
629,0-2 years
630,6-8 years
631,3-5 years
632,9-11 years
633,6-8 years
634,3-5 years
638,0-2 years
639,6-8 years
640,6-8 years
642,0-2 years
643,3-5 years
645,3-5 years
646,0-2 years
647,NA
651,0-2 years
652,3-5 years
654,3-5 years
655,NA
656,18-20 years
657,30 or more years
659,NA
661,NA
662,0-2 years
663,0-2 years
664,3-5 years
665,21-23 years
666,0-2 years
667,3-5 years
669,15-17 years
670,3-5 years
671,15-17 years
672,3-5 years
674,0-2 years
675,3-5 years
676,3-5 years
677,3-5 years
678,6-8 years
679,3-5 years
681,6-8 years
682,3-5 years
685,0-2 years
686,3-5 years
688,NA
689,15-17 years
691,3-5 years
692,3-5 years
693,0-2 years
694,3-5 years
695,6-8 years
697,3-5 years
699,0-2 years
700,3-5 years
701,3-5 years
704,3-5 years
705,0-2 years
706,6-8 years
708,3-5 years
709,0-2 years
710,6-8 years
711,NA
712,0-2 years
713,3-5 years
714,3-5 years
715,6-8 years
718,0-2 years
719,6-8 years
720,9-11 years
721,0-2 years
722,3-5 years
723,6-8 years
725,3-5 years
726,12-14 years
727,3-5 years
728,9-11 years
729,9-11 years
730,3-5 years
731,3-5 years
732,9-11 years
733,0-2 years
734,18-20 years
735,NA
736,0-2 years
738,6-8 years
739,12-14 years
740,0-2 years
742,3-5 years
743,12-14 years
744,6-8 years
746,6-8 years
747,NA
749,0-2 years
750,9-11 years
751,24-26 years
753,27-29 years
754,6-8 years
755,15-17 years
756,12-14 years
758,NA
759,0-2 years
760,9-11 years
761,0-2 years
762,3-5 years
763,21-23 years
764,21-23 years
766,3-5 years
767,NA
768,9-11 years
769,3-5 years
770,6-8 years
771,0-2 years
772,15-17 years
773,3-5 years
774,NA
775,21-23 years
777,3-5 years
778,3-5 years
780,NA
781,NA
782,6-8 years
784,3-5 years
785,0-2 years
786,0-2 years
787,0-2 years
788,3-5 years
790,3-5 years
791,3-5 years
794,0-2 years
795,3-5 years
797,6-8 years
798,3-5 years
799,0-2 years
800,3-5 years
801,24-26 years
802,6-8 years
804,0-2 years
805,3-5 years
806,NA
807,3-5 years
808,18-20 years
809,6-8 years
810,12-14 years
811,3-5 years
812,12-14 years
814,6-8 years
816,3-5 years
817,3-5 years
818,12-14 years
820,3-5 years
821,NA
822,3-5 years
823,NA
826,12-14 years
828,18-20 years
829,NA
831,0-2 years
832,3-5 years
834,6-8 years
835,3-5 years
838,0-2 years
839,NA
840,0-2 years
841,3-5 years
842,15-17 years
843,0-2 years
845,3-5 years
847,9-11 years
848,3-5 years
850,18-20 years
851,6-8 years
852,6-8 years
853,NA
854,3-5 years
856,3-5 years
857,3-5 years
860,3-5 years
861,9-11 years
862,0-2 years
863,NA
865,3-5 years
868,18-20 years
869,6-8 years
872,9-11 years
873,NA
874,0-2 years
876,3-5 years
879,9-11 years
881,18-20 years
882,6-8 years
883,6-8 years
884,3-5 years
885,15-17 years
887,NA
890,15-17 years
892,3-5 years
895,0-2 years
896,30 or more years
897,3-5 years
898,0-2 years
900,18-20 years
902,3-5 years
903,NA
904,NA
905,3-5 years
906,15-17 years
907,NA
908,3-5 years
909,9-11 years
910,NA
912,NA
913,3-5 years
916,NA
922,3-5 years
923,3-5 years
924,0-2 years
925,15-17 years
926,NA
927,3-5 years
928,6-8 years
929,6-8 years
930,0-2 years
931,3-5 years
932,0-2 years
933,9-11 years
934,NA
935,0-2 years
936,6-8 years
937,0-2 years
939,NA
940,6-8 years
941,9-11 years
942,0-2 years
943,NA
944,0-2 years
946,3-5 years
947,6-8 years
948,18-20 years
949,3-5 years
951,0-2 years
952,3-5 years
954,12-14 years
955,NA
957,3-5 years
958,12-14 years
961,9-11 years
962,6-8 years
963,6-8 years
964,6-8 years
966,0-2 years
967,3-5 years
968,9-11 years
969,6-8 years
971,0-2 years
972,0-2 years
974,NA
975,0-2 years
980,NA
981,NA
983,0-2 years
984,3-5 years
986,3-5 years
988,0-2 years
990,NA
991,3-5 years
997,3-5 years
998,NA
999,0-2 years
1000,0-2 years
1001,NA
1006,3-5 years
1007,21-23 years
1008,0-2 years
1009,0-2 years
1010,15-17 years
1011,0-2 years
1013,NA
1015,6-8 years
1016,6-8 years
1018,3-5 years
1020,3-5 years
1021,3-5 years
1023,3-5 years
1024,6-8 years
1025,9-11 years
1027,0-2 years
1028,NA
1030,3-5 years
1032,NA
1033,3-5 years
1034,3-5 years
1035,3-5 years
1036,0-2 years
1037,9-11 years
1038,18-20 years
1039,3-5 years
1040,0-2 years
1041,9-11 years
1042,3-5 years
1044,3-5 years
1045,3-5 years
1047,3-5 years
1050,0-2 years
1051,15-17 years
1053,0-2 years
1054,0-2 years
1056,9-11 years
1057,9-11 years
1058,0-2 years
1059,12-14 years
1060,NA
1061,0-2 years
1062,3-5 years
1063,3-5 years
1065,3-5 years
1067,NA
1070,0-2 years
1071,NA
1072,NA
1074,0-2 years
1075,0-2 years
1076,6-8 years
1077,15-17 years
1078,NA
1079,NA
1080,NA
1083,12-14 years
1084,3-5 years
1085,NA
1086,12-14 years
1089,3-5 years
1091,0-2 years
1094,0-2 years
1095,3-5 years
1098,18-20 years
1099,6-8 years
1100,3-5 years
1102,0-2 years
1103,3-5 years
1105,15-17 years
1106,NA
1107,9-11 years
1108,NA
1109,21-23 years
1110,0-2 years
1111,3-5 years
1112,0-2 years
1113,3-5 years
1117,12-14 years
1118,12-14 years
1119,0-2 years
1121,3-5 years
1122,0-2 years
1123,3-5 years
1124,9-11 years
1125,6-8 years
1127,0-2 years
1128,3-5 years
1129,0-2 years
1130,6-8 years
1131,3-5 years
1132,0-2 years
1133,9-11 years
1135,0-2 years
1137,3-5 years
1138,0-2 years
1139,NA
1141,18-20 years
1142,6-8 years
1143,0-2 years
1144,0-2 years
1145,0-2 years
1146,3-5 years
1147,NA
1148,3-5 years
1149,9-11 years
1150,0-2 years
1151,0-2 years
1152,6-8 years
1153,21-23 years
1155,9-11 years
1156,3-5 years
1157,24-26 years
1159,3-5 years
1160,0-2 years
1162,3-5 years
1163,0-2 years
1164,15-17 years
1166,3-5 years
1172,0-2 years
1174,NA
1178,9-11 years
1179,0-2 years
1180,0-2 years
1181,0-2 years
1183,NA
1185,18-20 years
1187,12-14 years
1188,0-2 years
1189,9-11 years
1190,12-14 years
1192,6-8 years
1194,0-2 years
1195,9-11 years
1196,NA
1197,9-11 years
1198,NA
1201,3-5 years
1202,6-8 years
1205,0-2 years
1206,0-2 years
1207,0-2 years
1208,3-5 years
1209,21-23 years
1210,6-8 years
1211,15-17 years
1212,0-2 years
1213,3-5 years
1215,6-8 years
1216,12-14 years
1217,3-5 years
1219,3-5 years
1221,3-5 years
1222,0-2 years
1223,3-5 years
1224,0-2 years
1225,30 or more years
1227,9-11 years
1229,3-5 years
1230,0-2 years
1231,0-2 years
1232,3-5 years
1233,0-2 years
1236,0-2 years
1238,0-2 years
1239,0-2 years
1240,9-11 years
1241,30 or more years
1242,18-20 years
1243,3-5 years
1244,3-5 years
1245,NA
1246,9-11 years
1247,0-2 years
1248,9-11 years
1249,12-14 years
1250,12-14 years
1251,NA
1253,0-2 years
1254,6-8 years
1255,9-11 years
1256,0-2 years
1258,0-2 years
1259,0-2 years
1260,3-5 years
1262,3-5 years
1263,NA
1264,3-5 years
1265,9-11 years
1268,3-5 years
1269,3-5 years
1270,3-5 years
1273,NA
1274,9-11 years
1275,0-2 years
1276,18-20 years
1278,6-8 years
1279,12-14 years
1280,15-17 years
1282,9-11 years
1283,15-17 years
1284,15-17 years
1285,0-2 years
1286,NA
1288,3-5 years
1289,6-8 years
1290,6-8 years
1291,NA
1292,3-5 years
1293,NA
1294,3-5 years
1295,9-11 years
1296,3-5 years
1297,6-8 years
1298,15-17 years
1299,9-11 years
1303,15-17 years
1306,3-5 years
1307,0-2 years
1309,3-5 years
1310,6-8 years
1311,3-5 years
1312,9-11 years
1313,15-17 years
1314,3-5 years
1315,0-2 years
1316,3-5 years
1317,6-8 years
1318,3-5 years
1319,3-5 years
1320,0-2 years
1321,0-2 years
1322,NA
1326,0-2 years
1327,6-8 years
1328,NA
1329,3-5 years
1331,3-5 years
1333,6-8 years
1334,0-2 years
1335,0-2 years
1336,6-8 years
1337,3-5 years
1338,0-2 years
1339,30 or more years
1340,3-5 years
1341,30 or more years
1342,6-8 years
1343,0-2 years
1344,6-8 years
1345,3-5 years
1346,12-14 years
1348,0-2 years
1350,6-8 years
1351,6-8 years
1352,3-5 years
1354,3-5 years
1356,0-2 years
1357,12-14 years
1360,NA
1361,3-5 years
1362,3-5 years
1365,0-2 years
1367,NA
1368,0-2 years
1370,0-2 years
1371,6-8 years
1374,0-2 years
1376,0-2 years
1377,18-20 years
1378,NA
1380,3-5 years
1381,12-14 years
1382,3-5 years
1383,18-20 years
1384,9-11 years
1385,NA
1386,NA
1387,0-2 years
1388,3-5 years
1389,NA
1390,0-2 years
1391,3-5 years
1393,3-5 years
1395,0-2 years
1398,0-2 years
1400,15-17 years
1401,6-8 years
1402,NA
1405,9-11 years
1406,12-14 years
1408,NA
1409,NA
1410,12-14 years
1412,3-5 years
1413,6-8 years
1414,NA
1415,3-5 years
1419,3-5 years
1420,6-8 years
1422,3-5 years
1423,0-2 years
1424,15-17 years
1425,6-8 years
1426,3-5 years
1427,9-11 years
1428,9-11 years
1430,3-5 years
1431,3-5 years
1432,3-5 years
1433,3-5 years
1434,NA
1436,9-11 years
1437,6-8 years
1438,9-11 years
1442,12-14 years
1443,3-5 years
1446,6-8 years
1447,3-5 years
1448,NA
1449,6-8 years
1450,12-14 years
1451,NA
1453,3-5 years
1454,18-20 years
1455,6-8 years
1457,NA
1458,3-5 years
1459,12-14 years
1460,3-5 years
1461,3-5 years
1462,3-5 years
1464,6-8 years
1465,6-8 years
1466,0-2 years
1468,3-5 years
1469,9-11 years
1470,3-5 years
1471,NA
1472,15-17 years
1473,6-8 years
1477,NA
1478,0-2 years
1479,6-8 years
1480,0-2 years
1481,9-11 years
1482,6-8 years
1483,3-5 years
1484,9-11 years
1486,0-2 years
1488,NA
1489,3-5 years
1490,NA
1491,0-2 years
1492,3-5 years
1493,3-5 years
1495,9-11 years
1496,NA
1497,3-5 years
1498,6-8 years
1499,21-23 years
1500,6-8 years
1501,0-2 years
1502,NA
1503,0-2 years
1504,6-8 years
1505,30 or more years
1506,9-11 years
1507,6-8 years
1508,30 or more years
1509,6-8 years
1510,3-5 years
1513,0-2 years
1516,3-5 years
1517,6-8 years
1518,12-14 years
1519,0-2 years
1520,3-5 years
1522,21-23 years
1523,30 or more years
1524,0-2 years
1526,6-8 years
1527,30 or more years
1530,3-5 years
1531,0-2 years
1532,3-5 years
1537,9-11 years
1538,3-5 years
1540,0-2 years
1541,21-23 years
1543,30 or more years
1544,0-2 years
1546,NA
1547,3-5 years
1549,0-2 years
1550,3-5 years
1551,3-5 years
1552,0-2 years
1553,0-2 years
1554,3-5 years
1555,6-8 years
1556,3-5 years
1557,9-11 years
1560,0-2 years
1562,6-8 years
1563,0-2 years
1565,NA
1566,0-2 years
1567,6-8 years
1568,NA
1569,0-2 years
1571,9-11 years
1573,NA
1578,6-8 years
1579,6-8 years
1581,0-2 years
1582,12-14 years
1583,9-11 years
1585,3-5 years
1586,0-2 years
1587,9-11 years
1588,0-2 years
1589,15-17 years
1590,3-5 years
1592,3-5 years
1593,9-11 years
1594,3-5 years
1595,NA
1596,0-2 years
1598,NA
1601,NA
1602,0-2 years
1603,6-8 years
1604,0-2 years
1605,NA
1606,0-2 years
1607,6-8 years
1608,6-8 years
1609,6-8 years
1611,9-11 years
1612,6-8 years
1613,NA
1616,3-5 years
1618,21-23 years
1619,6-8 years
1620,12-14 years
1621,0-2 years
1627,12-14 years
1628,0-2 years
1631,3-5 years
1632,3-5 years
1633,3-5 years
1635,NA
1636,0-2 years
1637,9-11 years
1638,3-5 years
1639,NA
1640,12-14 years
1641,3-5 years
1642,6-8 years
1643,30 or more years
1644,3-5 years
1645,6-8 years
1646,6-8 years
1648,15-17 years
1649,0-2 years
1650,3-5 years
1652,0-2 years
1653,3-5 years
1654,15-17 years
1655,0-2 years
1660,0-2 years
1663,3-5 years
1664,12-14 years
1665,3-5 years
1666,15-17 years
1667,6-8 years
1668,6-8 years
1671,9-11 years
1672,12-14 years
1673,3-5 years
1674,6-8 years
1676,0-2 years
1677,3-5 years
1680,3-5 years
1681,3-5 years
1682,9-11 years
1684,3-5 years
1685,0-2 years
1686,3-5 years
1687,0-2 years
1688,18-20 years
1689,NA
1692,0-2 years
1693,NA
1694,9-11 years
1695,NA
1696,0-2 years
1697,3-5 years
1699,3-5 years
1701,9-11 years
1702,6-8 years
1703,3-5 years
1704,NA
1705,30 or more years
1706,12-14 years
1707,6-8 years
1710,3-5 years
1711,3-5 years
1712,NA
1713,15-17 years
1714,12-14 years
1715,NA
1716,0-2 years
1717,9-11 years
1719,3-5 years
1720,0-2 years
1722,9-11 years
1724,3-5 years
1726,3-5 years
1728,3-5 years
1729,9-11 years
1730,0-2 years
1733,3-5 years
1735,6-8 years
1736,0-2 years
1737,NA
1738,9-11 years
1740,6-8 years
1741,18-20 years
1742,9-11 years
1743,0-2 years
1744,0-2 years
1745,3-5 years
1746,NA
1747,3-5 years
1748,18-20 years
1749,9-11 years
1750,3-5 years
1751,NA
1752,3-5 years
1753,0-2 years
1755,NA
1756,NA
1757,15-17 years
1758,12-14 years
1759,12-14 years
1764,6-8 years
1765,15-17 years
1766,0-2 years
1767,0-2 years
1768,6-8 years
1770,3-5 years
1771,6-8 years
1773,0-2 years
1774,18-20 years
1777,3-5 years
1778,6-8 years
1779,3-5 years
1780,21-23 years
1781,0-2 years
1782,3-5 years
1783,3-5 years
1784,3-5 years
1786,30 or more years
1788,0-2 years
1789,0-2 years
1790,3-5 years
1791,0-2 years
1795,3-5 years
1796,3-5 years
1797,12-14 years
1800,6-8 years
1801,0-2 years
1802,9-11 years
1803,0-2 years
1804,3-5 years
1805,NA
1806,NA
1807,0-2 years
1808,15-17 years
1811,NA
1812,NA
1813,6-8 years
1814,0-2 years
1816,NA
1819,6-8 years
1821,NA
1823,0-2 years
1825,0-2 years
1826,6-8 years
1827,0-2 years
1828,3-5 years
1831,0-2 years
1833,6-8 years
1834,9-11 years
1835,15-17 years
1836,3-5 years
1837,0-2 years
1838,6-8 years
1839,NA
1842,18-20 years
1843,3-5 years
1844,0-2 years
1845,0-2 years
1846,3-5 years
1848,0-2 years
1849,3-5 years
1852,9-11 years
1853,3-5 years
1854,6-8 years
1855,0-2 years
1856,6-8 years
1857,3-5 years
1858,18-20 years
1861,NA
1862,3-5 years
1863,9-11 years
1864,12-14 years
1865,3-5 years
1866,3-5 years
1867,12-14 years
1868,0-2 years
1869,15-17 years
1870,9-11 years
1871,3-5 years
1872,21-23 years
1873,3-5 years
1874,12-14 years
1876,NA
1878,6-8 years
1880,0-2 years
1882,3-5 years
1884,3-5 years
1885,NA
1886,3-5 years
1887,6-8 years
1888,18-20 years
1889,3-5 years
1890,6-8 years
1893,3-5 years
1895,3-5 years
1896,3-5 years
1898,0-2 years
1899,NA
1900,3-5 years
1901,NA
1902,6-8 years
1903,3-5 years
1904,NA
1905,6-8 years
1906,6-8 years
1907,15-17 years
1908,NA
1909,0-2 years
1910,0-2 years
1911,0-2 years
1912,NA
1913,NA
1915,12-14 years
1916,0-2 years
1917,18-20 years
1918,0-2 years
1919,6-8 years
1920,3-5 years
1921,0-2 years
1924,6-8 years
1926,0-2 years
1928,NA
1929,3-5 years
1930,12-14 years
1931,0-2 years
1932,9-11 years
1933,NA
1936,9-11 years
1937,0-2 years
1938,18-20 years
1939,NA
1940,NA
1941,3-5 years
1942,3-5 years
1943,9-11 years
1945,3-5 years
1947,3-5 years
1948,NA
1950,0-2 years
1951,18-20 years
1955,3-5 years
1956,0-2 years
1957,15-17 years
1960,12-14 years
1962,0-2 years
1963,6-8 years
1965,0-2 years
1966,NA
1967,0-2 years
1968,3-5 years
1971,0-2 years
1972,3-5 years
1973,15-17 years
1974,6-8 years
1975,0-2 years
1978,3-5 years
1979,12-14 years
1981,15-17 years
1982,0-2 years
1987,18-20 years
1988,6-8 years
1989,24-26 years
1991,0-2 years
1992,30 or more years
1995,15-17 years
1997,9-11 years
1998,15-17 years
2000,12-14 years
2002,15-17 years
2003,3-5 years
2004,6-8 years
2005,3-5 years
2006,0-2 years
2007,9-11 years
2008,NA
2009,3-5 years
2010,6-8 years
2012,NA
2013,12-14 years
2014,NA
2016,3-5 years
2017,0-2 years
2018,6-8 years
2020,3-5 years
2021,6-8 years
2023,0-2 years
2024,6-8 years
2025,9-11 years
2027,6-8 years
2028,15-17 years
2029,NA
2031,0-2 years
2033,3-5 years
2035,0-2 years
2036,3-5 years
2037,15-17 years
2040,3-5 years
2041,18-20 years
2042,NA
2043,NA
2044,3-5 years
2045,3-5 years
2046,12-14 years
2047,0-2 years
2048,0-2 years
2049,NA
2051,6-8 years
2052,15-17 years
2053,12-14 years
2055,12-14 years
2056,0-2 years
2058,NA
2059,0-2 years
2060,0-2 years
2061,9-11 years
2062,30 or more years
2064,3-5 years
2065,6-8 years
2066,3-5 years
2067,0-2 years
2068,NA
2069,0-2 years
2071,NA
2072,9-11 years
2073,6-8 years
2074,NA
2076,3-5 years
2078,21-23 years
2079,3-5 years
2080,3-5 years
2081,9-11 years
2083,3-5 years
2085,0-2 years
2087,12-14 years
2088,0-2 years
2089,9-11 years
2090,9-11 years
2091,NA
2093,NA
2094,3-5 years
2095,NA
2096,3-5 years
2097,18-20 years
2098,6-8 years
2099,30 or more years
2100,0-2 years
2101,NA
2102,6-8 years
2103,6-8 years
2104,9-11 years
2105,0-2 years
2106,3-5 years
2108,0-2 years
2109,6-8 years
2111,6-8 years
2112,0-2 years
2113,6-8 years
2114,3-5 years
2115,0-2 years
2118,15-17 years
2119,NA
2120,0-2 years
2121,3-5 years
2122,3-5 years
2123,15-17 years
2124,0-2 years
2125,NA
2126,0-2 years
2128,NA
2129,12-14 years
2131,0-2 years
2135,NA
2136,3-5 years
2137,0-2 years
2139,3-5 years
2140,NA
2141,3-5 years
2142,9-11 years
2144,30 or more years
2145,15-17 years
2146,6-8 years
2148,NA
2149,0-2 years
2150,6-8 years
2152,3-5 years
2153,NA
2154,NA
2155,9-11 years
2159,0-2 years
2160,0-2 years
2161,9-11 years
2162,0-2 years
2163,NA
2164,6-8 years
2165,3-5 years
2166,3-5 years
2167,3-5 years
2169,3-5 years
2172,0-2 years
2174,3-5 years
2175,0-2 years
2177,12-14 years
2178,6-8 years
2179,6-8 years
2180,27-29 years
2182,3-5 years
2183,0-2 years
2185,3-5 years
2186,18-20 years
2187,15-17 years
2188,0-2 years
2189,9-11 years
2190,12-14 years
2193,0-2 years
2195,21-23 years
2196,NA
2199,3-5 years
2202,21-23 years
2204,0-2 years
2206,3-5 years
2207,3-5 years
2208,NA
2210,3-5 years
2213,3-5 years
2214,18-20 years
2216,0-2 years
2217,0-2 years
2218,0-2 years
2219,3-5 years
2223,6-8 years
2225,0-2 years
2226,15-17 years
2228,3-5 years
2229,3-5 years
2230,0-2 years
2233,3-5 years
2234,3-5 years
2235,9-11 years
2236,9-11 years
2237,0-2 years
2239,3-5 years
2240,3-5 years
2242,9-11 years
2243,12-14 years
2244,NA
2245,0-2 years
2247,NA
2248,27-29 years
2249,NA
2251,0-2 years
2253,3-5 years
2254,15-17 years
2255,3-5 years
2257,12-14 years
2258,3-5 years
2259,18-20 years
2260,3-5 years
2261,NA
2262,3-5 years
2264,12-14 years
2265,9-11 years
2266,0-2 years
2267,3-5 years
2268,18-20 years
2269,3-5 years
2270,6-8 years
2272,0-2 years
2274,NA
2276,0-2 years
2277,0-2 years
2282,0-2 years
2283,3-5 years
2284,3-5 years
2285,0-2 years
2286,0-2 years
2288,21-23 years
2289,12-14 years
2290,3-5 years
2291,6-8 years
2292,12-14 years
2297,3-5 years
2299,0-2 years
2301,NA
2302,9-11 years
2303,0-2 years
2304,3-5 years
2305,0-2 years
2306,6-8 years
2308,3-5 years
2309,3-5 years
2310,3-5 years
2314,18-20 years
2315,3-5 years
2320,0-2 years
2321,9-11 years
2322,9-11 years
2323,3-5 years
2325,9-11 years
2328,3-5 years
2329,9-11 years
2330,3-5 years
2331,3-5 years
2333,3-5 years
2334,0-2 years
2335,NA
2336,3-5 years
2337,0-2 years
2338,3-5 years
2341,0-2 years
2342,30 or more years
2343,15-17 years
2344,21-23 years
2347,6-8 years
2348,3-5 years
2351,3-5 years
2352,3-5 years
2353,NA
2354,0-2 years
2355,0-2 years
2356,3-5 years
2357,6-8 years
2360,0-2 years
2361,3-5 years
2362,3-5 years
2363,9-11 years
2364,NA
2365,0-2 years
2366,3-5 years
2367,0-2 years
2368,6-8 years
2369,12-14 years
2370,0-2 years
2371,0-2 years
2374,21-23 years
2375,3-5 years
2376,0-2 years
2377,9-11 years
2379,0-2 years
2380,12-14 years
2382,3-5 years
2383,0-2 years
2385,NA
2386,12-14 years
2387,3-5 years
2388,6-8 years
2389,9-11 years
2390,0-2 years
2393,NA
2394,0-2 years
2395,3-5 years
2396,0-2 years
